,,,,,,,,,,
--- Table 1 ---,,,,,,,,,,
,first,—,31 October 2000,?,—,—,,,,
,7,—,13 October 2001,?,—,—,,,,
,8,4,1 October 2002,30 December 2007,30 December 2009,—,,,,
,9,4,3 August 2004,31 August 2011,1 August 2014,—,,,,
,10,4,17 June 2006,31 July 2013,30 July 2016,—,,,,
,11,4,24 March 2009,31 March 2019,31 March 2022,31 March 2028,,,,
,12,5,27 October 2014,31 October 2024,31 October 2027,1 October 2030,,,,
,15,7,16 July 2018,31 July 2031,31 July 2034,1 December 2037,,,,
,16,PublicRC,TBA,TBA,TBA,TBA,,,,
,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,,,,
,,,,,,,,,,
--- Table 2 ---,,,,,,,,,,
,,,,,,,first,S/390,"October 31, 2000[65]",
,,,,,,,first,Sparc and IA-32,April 2001[66],
,,,,,,,7,Initial release,"October 13, 2001","For the first time, a common codebase is used for all architectures (IA-32, Itanium, iSeries and pSeries, S/390 and zSeries 31-bit, zSeries 64-bit)"
,,,,,,,8[67],Initial release,October 2002,
,,,,,,,8[67],SP1,,
,,,,,,,8[67],SP2,,
,,,,,,,8[67],SP2a,,
,,,,,,,8[67],SP3,,
,,,,,,,8[67],SP4,,
,,,,,,,9,Initial release,"August 3, 2004",
,,,,,,,9,SP1,"January 19, 2005",
,,,,,,,9,SP2,"July 7, 2005",
,,,,,,,9,SP3,"December 22, 2005",
,,,,,,,9,SP4,"December 12, 2007",
,,,,,,,10,Initial release,"June 17, 2006",
,,,,,,,10,SP1,"June 18, 2007",
,,,,,,,10,SP2,"May 19, 2008",
,,,,,,,10,SP3,"October 12, 2009",
,,,,,,,10,SP4,"April 12, 2011",
,,,,,,,11,Initial release,"March 24, 2009",
,,,,,,,11,SP1,"June 2, 2010",
,,,,,,,11,SP2,"February 15, 2012",
,,,,,,,11,SP3,"July 1, 2013",
,,,,,,,11,SP4,"July 16, 2015",
,,,,,,,12,Initial release,"October 27, 2014[68]",
,,,,,,,12,SP1,"December 15, 2015[29][30][31]",
,,,,,,,12,SP2,"November 11, 2016[32][33][34]",
,,,,,,,12,SP3,"September 7, 2017[35][36][37]",
,,,,,,,12,SP4,"December 11, 2018[69]",
,,,,,,,12,SP5,"December 9, 2019[70]",
,,,,,,,15,Initial release,"July 16, 2018",Versions 13 and 14 did not have server releases
,,,,,,,15,SP1,"June 24, 2019[71]",
,,,,,,,15,SP2,"July 21, 2020[72]",
,,,,,,,15,SP3,"June 23, 2021[73]",
,,,,,,,15,SP4,"June 24, 2022[74]",
,,,,,,,15,SP5,"June 20, 2023[75]",
,,,,,,,15,SP6,"June 26, 2024[76]",
,,,,,,,15,SP7,"June 24, 2025[77]",
